0,69
11,5911
11,5873
11,5809
11,5717
11,5692
11,5733
11,5598
10,5610
10,5641
10,5680
10,5719
10,5687
10,5573
10,5615
10,5609
10,5630
9,5557
9,5532
9,5547
9,5588
9,5592
9,5634
9,5624
9,5641
9,5631
9,5661
9,5671
9,5574
9,5607
9,5621
9,5661
9,5708
8,5736
8,5733
8,5719
7,5763
7,5692
7,5732
7,5694
7,5741
7,5779
7,5700
6,5728
6,5725
6,5724
6,5763
6,5778
6,5769
6,5737
6,5749
3,5771
3,5815
3,5847
3,5861
3,5880
3,5831
3,5769
3,5723
3,5771
2,5818
2,5825
2,5853
2,5894
2,5853
2,5891
1,5910
1,5933
1,5978
1,5950
1,6000
1,6050
1,5972
1,5997
1,5995
1,5998
0,5902
0,5806
0,5752
0,5794
0,5788
0,5700
0,5547
0,5489
